Localizador,Cia Aérea,Origem,Destino,Classe da Passagem,Qtde de Paradas,Tipo de Destino,Estação do Ano,Preço Atual da Passagem,Preço da Passagem na última semana,Preço da Passagem no último mês,Decisão do Cliente
EECE52,QATAR,DUB,EWR,3,0,romântico,inverno,5571.43,5444.73,4718.87,Não comprou
0GQ2XB,LATAM,PVG,BOM,4,1,romântico,outono,9914.27,8105.21,7951.10,Não comprou
9LC06Q,AMERICAN,MAD,DEL,3,1,negócios,primavera,5896.35,6897.04,7423.17,Comprou
8CXT02,QATAR,ZRH,DOH,1,1,aventura,primavera,893.75,1069.73,1008.56,Comprou
LKZEF5,AMERICAN,MEL,LGW,3,2,família,primavera,5329.99,5529.97,6097.89,Preferiu aguardar e comprou depois
BQANJQ,EMIRATES,JNB,JFK,1,2,histórico,inverno,1238.14,1076.75,927.16,Não comprou
9HNM6Q,UNITED,PVG,MEL,3,0,aventura,primavera,6274.16,6811.84,7843.19,Preferiu aguardar e comprou depois
ZNZ66K,AZUL,MXP,BOM,1,2,família,primavera,1049.86,1126.21,918.33,Comprou
J7YEQA,LATAM,LAX,PEK,2,1,religioso,primavera,3792.37,4306.77,3994.70,Comprou
GNCMKO,QATAR,LAS,AKL,1,1,negócios,verão,2048.14,2401.53,2864.69,Preferiu aguardar e comprou depois
X3NQ3F,AZUL,CDG,DOH,1,1,histórico,verão,1833.27,1853.26,1942.74,Preferiu aguardar e comprou depois
HWJUVD,AZUL,HND,CDG,2,2,romântico,inverno,1900.70,2104.45,2250.08,Comprou
1BIZBE,KLM,PHX,DXB,1,1,aventura,primavera,929.84,962.29,1035.61,Preferiu aguardar e comprou depois
LRRIOT,DELTA,MIA,AKL,2,1,romântico,verão,3344.88,3893.21,3310.06,Comprou
17Y25B,GOL,DUB,FCO,4,2,família,outono,12131.80,12990.49,13689.94,Comprou
TZS2XH,AMERICAN,DUB,AMS,2,0,aventura,verão,3888.96,3651.97,3173.99,Não comprou
U9IFUK,KLM,SFO,LAX,1,2,histórico,verão,1631.05,1409.32,1152.35,Não comprou
CYJ2NB,AZUL,DFW,DXB,1,2,aventura,outono,1181.89,1244.96,1485.48,Preferiu aguardar e comprou depois
PJ7OYV,QATAR,PHX,LGA,4,1,família,primavera,8392.86,7060.26,6763.59,Não comprou
RX3QJH,EMIRATES,SEA,CDG,2,2,aventura,inverno,4480.56,4591.39,3691.30,Preferiu aguardar e comprou depois
ZQUNA5,QATAR,PVG,DXB,1,0,negócios,verão,2104.92,2376.58,2662.57,Comprou
DB9XUT,LATAM,BRU,AMS,4,1,aventura,primavera,10329.31,8912.95,9696.63,Não comprou
0QL02Z,AIR FRANCE,YYZ,SIN,4,1,histórico,outono,12662.89,12917.28,14383.28,Preferiu aguardar e comprou depois
DQQDZ9,UNITED,AMS,LHR,2,1,família,inverno,3027.14,2869.56,3109.29,Não comprou
S8PZE3,QATAR,BCN,YYZ,4,0,aventura,primavera,10173.25,11065.34,10638.46,Comprou
VRRLYI,UNITED,LGW,HND,3,0,religioso,outono,6631.90,6928.25,6788.95,Comprou
GSFWYV,AZUL,VIE,DFW,4,2,romântico,outono,9262.66,9524.77,8935.24,Preferiu aguardar e comprou depois
CAFGNM,QATAR,YVR,ORD,3,1,negócios,primavera,4714.75,5347.86,4867.68,Comprou
PJFGO7,LATAM,VIE,EWR,2,2,negócios,verão,4804.24,4427.16,4767.57,Não comprou
QM366I,GOL,EWR,PEK,2,1,negócios,outono,1829.70,1674.03,1967.67,Não comprou
MHDA5Q,LATAM,JNB,MAD,3,2,aventura,verão,8075.76,9278.19,8916.85,Comprou
JSXC88,LATAM,FRA,CPT,3,0,histórico,outono,5580.40,5939.94,5091.35,Comprou
3PCR4T,LATAM,NRT,SYD,2,0,religioso,inverno,2655.43,2160.84,1849.62,Não comprou
OYNNHN,GOL,ICN,LGW,3,2,romântico,primavera,4723.04,5559.46,6328.13,Preferiu aguardar e comprou depois
S4GZUR,EMIRATES,BCN,ATL,1,1,negócios,outono,1085.01,913.98,836.16,Não comprou
8VE43F,LATAM,LHR,MUC,1,1,romântico,primavera,1161.13,1003.40,990.02,Não comprou
91MS02,LATAM,IAH,ICN,3,2,aventura,inverno,6627.92,6163.53,4932.35,Não comprou
Z97XH4,AIR FRANCE,HKG,PHX,3,2,histórico,inverno,6021.56,5781.92,6251.80,Não comprou
1HDG70,AIR FRANCE,FCO,ZRH,3,0,romântico,verão,7808.59,6923.41,5772.00,Não comprou
324LK6,AMERICAN,LIS,SIN,3,2,religioso,verão,9265.72,7926.30,8314.16,Não comprou
RTD21V,UNITED,FRA,CDG,4,1,negócios,verão,16323.09,18305.73,17452.17,Comprou
7AG7EN,AZUL,LGA,CPT,4,1,religioso,primavera,9284.35,10524.56,10438.21,Comprou
DKJRTM,KLM,MEL,IAH,1,2,religioso,outono,1589.22,1702.80,1865.23,Comprou
W1P2MV,DELTA,DEN,YYZ,3,0,histórico,outono,6299.41,7522.77,7510.43,Preferiu aguardar e comprou depois
CEWJAY,KLM,DOH,YYZ,1,1,família,inverno,1346.47,1131.91,1260.63,Não comprou
LSJGHO,QATAR,FRA,MIA,2,1,negócios,inverno,2995.66,2985.00,2934.10,Não comprou
A115TW,EMIRATES,PVG,MAD,3,1,histórico,verão,9086.30,10239.24,12000.24,Comprou
B6HW4K,AMERICAN,DOH,PHX,1,0,família,inverno,1905.80,2107.50,1907.20,Preferiu aguardar e comprou depois
N0FOO3,EMIRATES,DXB,ATL,3,2,aventura,outono,6471.39,7281.12,8149.14,Comprou
HSLM6O,UNITED,FRA,SYD,2,1,aventura,primavera,1481.08,1589.86,1801.66,Comprou
GFF85J,KLM,DUB,FCO,4,1,negócios,verão,11923.20,14014.99,16725.24,Preferiu aguardar e comprou depois
B2DV6H,LATAM,FRA,DEN,3,2,religioso,verão,7067.80,7743.51,8904.03,Comprou
T70RRH,DELTA,SFO,YYZ,4,0,família,outono,13987.17,11537.30,11714.70,Não comprou
5CB0BU,EMIRATES,CLT,VIE,2,1,histórico,inverno,2446.35,2008.77,2179.87,Não comprou
TAJFNT,GOL,ORD,BCN,2,1,família,verão,3771.21,3051.93,3091.31,Não comprou
CZ528D,KLM,LGA,SYD,3,1,família,inverno,6252.09,6189.14,7319.94,Não comprou
P3U2SK,AMERICAN,JNB,EWR,1,1,aventura,verão,1674.84,1691.35,1776.73,Preferiu aguardar e comprou depois
Q7MYIQ,AZUL,BOS,ICN,4,2,família,verão,11000.24,10410.91,12094.65,Não comprou
LO40MX,KLM,NRT,DEL,2,1,romântico,inverno,3480.68,3627.63,4067.83,Preferiu aguardar e comprou depois
V0QPVV,AMERICAN,BOM,DUB,3,0,família,primavera,4802.22,5244.81,5469.64,Preferiu aguardar e comprou depois
CVLG9F,AZUL,AKL,JFK,2,0,religioso,primavera,2990.95,2856.68,3168.41,Não comprou
